Generation	Performance	Genome
0	5.43345572794	[17.25, 0.68, 0.2, 0.78, 0.56, 3.63]
1	5.43345572794	[17.25, 0.68, 0.2, 0.78, 0.56, 3.63]
2	5.5192092601	[17.25, 0.68, 0.2, 0.78, 0.56, 3.63]
3	5.5192092601	[17.25, 0.68, 0.2, 0.78, 0.56, 3.63]
4	5.53926167414	[17.25, 0.68, 0.2, 0.78, 0.56, 3.63]
5	5.5192092601	[17.25, 0.68, 0.2, 0.78, 0.56, 3.63]
6	5.59088833015	[17.25, 0.68, 0.2, 0.78, 0.56, 3.63]
7	5.53663169174	[17.25, 0.68, 0.2, 0.78, 0.56, -0.22999999999999998]
8	5.53663169174	[17.25, 0.68, 0.2, 0.78, 0.56, -0.22999999999999998]
9	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
10	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
11	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
12	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
13	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
14	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
15	5.56613024226	[17.25, 0.68, 0.2, 0.78, 0.56, 0.0]
16	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
17	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
18	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
19	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
20	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
21	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
22	5.5566814188	[17.25, 0.68, 0.2, 0.78, 0.56, 3.63]
23	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
24	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
25	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
26	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
27	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
28	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
29	5.55189199949	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
30	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
31	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
32	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
33	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
34	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
35	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
36	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
37	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
38	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
39	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
40	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
41	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
42	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
43	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
44	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
45	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
46	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
47	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
48	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
49	5.550029803	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
