Generation	Performance
0	0.172424162251
1	0.376031429258
2	0.843434947638
3	1.37919608114
4	1.6141688355
5	1.61471987287
6	1.54365530097
7	1.65125195424
8	1.21961546389
9	1.32428527838
10	1.69653015884
11	1.50940359747
12	1.51104687337
13	1.5333335285
14	1.20119065481
15	1.26142101845
16	1.26370396023
17	1.37566824726
18	1.68582397837
19	1.54436154775
20	1.37582235552
21	1.61518190346
22	1.45111943159
23	1.28947743888
24	1.32486013062
25	1.37450861877
26	1.37789040726
27	1.31495630986
28	1.43158437049
29	1.35421142705
30	1.229192824
31	1.21358843657
32	1.46402471059
33	1.38459596149
34	1.30782929797
35	1.07011248589
36	1.33924738878
37	1.26447644842
38	1.4822082529
39	1.4244659824
40	1.3353841732
41	1.22610624523
42	1.59096848981
43	1.24541223311
44	1.0830216612
45	1.26315987123
46	1.06461910357
47	1.2942638204
48	1.23680118452
49	1.23309207032
