Generation	Performance
0	0.588334504761
1	0.788340275658
2	1.00931286562
3	1.22423432616
4	1.70404327948
5	2.09756192475
6	2.21155532206
7	2.46268674848
8	2.20585369696
9	2.35147347985
10	2.61957980834
11	2.69948701968
12	2.68614181755
13	2.84501056456
14	2.7277292131
15	2.38153305936
16	2.81781058164
17	2.80143582363
18	2.82897287252
19	2.963158286
20	2.52910959456
21	2.84734865148
22	2.65695349888
23	2.78467727542
24	2.63021577686
25	2.70789449745
26	2.74833223335
27	2.65079321059
28	2.81753524505
29	2.91889616764
30	2.5436155262
31	2.6002872603
32	2.85998782674
33	2.68823009291
34	2.72830722196
35	2.71397838842
36	2.57208653386
37	2.42711249177
38	2.78674337157
39	2.87131971218
40	2.88252784712
41	2.55633734259
42	2.82014013394
43	2.67555608963
44	2.56820226477
45	2.68089554552
46	2.43405117794
47	2.50835773355
48	2.52472454702
49	2.62620870513
