Generation	Performance	Genome
0	5.51150484596	[17.25, 0.68, 0.2, 0.78, 0.56, 3.63]
1	5.5500808288	[17.25, 0.68, 0.2, 0.78, 0.56, -0.27]
2	5.53247167573	[17.25, 0.68, 0.2, 0.78, 0.56, 3.63]
3	5.55953076894	[17.25, 0.68, 0.2, 0.78, 0.56, 3.07]
4	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
5	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
6	5.61513877961	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
7	5.61513877961	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
8	5.61513877961	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
9	5.61513877961	[17.25, 0.68, 0.2, 0.78, 0.56, -0.1200000000000001]
10	5.60908103028	[17.25, 0.68, 0.2, 0.78, 0.56, -0.31000000000000005]
11	5.58029485595	[17.25, 0.68, 0.2, 0.78, 0.56, -1.94]
12	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
13	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
14	5.59598691637	[17.25, 0.68, 0.2, 0.78, 0.56, -1.8200000000000003]
15	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
16	5.5810843357	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
17	5.64793807495	[17.25, 0.68, 0.2, 0.78, 0.56, -1.9300000000000002]
18	5.64793807495	[17.25, 0.68, 0.2, 0.78, 0.56, -1.9300000000000002]
19	5.57396772337	[17.25, 0.68, 0.2, 0.78, 0.56, -0.16000000000000014]
20	5.60259609999	[17.25, 0.68, 0.2, 0.78, 0.56, -1.81]
21	5.64793807495	[17.25, 0.68, 0.2, 0.78, 0.56, -1.9300000000000002]
22	5.60259609999	[17.25, 0.68, 0.2, 0.78, 0.56, -1.81]
23	5.64793807495	[17.25, 0.68, 0.2, 0.78, 0.56, -1.9300000000000002]
24	5.60259609999	[17.25, 0.68, 0.2, 0.78, 0.56, -1.81]
25	5.64793807495	[17.25, 0.68, 0.2, 0.78, 0.56, -1.9300000000000002]
26	5.64793807495	[17.25, 0.68, 0.2, 0.78, 0.56, -1.9300000000000002]
27	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
28	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
29	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
30	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
31	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
32	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
33	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
34	5.64793807495	[17.25, 0.68, 0.2, 0.78, 0.56, -1.9300000000000002]
35	5.64793807495	[17.25, 0.68, 0.2, 0.78, 0.56, -1.9300000000000002]
36	5.64793807495	[17.25, 0.68, 0.2, 0.78, 0.56, -1.9300000000000002]
37	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
38	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
39	5.58500819069	[17.25, 0.68, 0.2, 0.78, 0.56, -1.7200000000000002]
40	5.60259609999	[17.25, 0.68, 0.2, 0.78, 0.56, -1.81]
41	5.67793697438	[-19.97, 0.68, 0.2, 0.78, 0.56, 1.92]
42	5.60259609999	[17.25, 0.68, 0.2, 0.78, 0.56, -1.81]
43	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
44	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
45	5.56645879777	[17.25, 0.68, 0.2, 0.78, 0.56, 1.92]
46	5.56886665247	[17.25, 0.68, 0.2, 0.78, 0.56, -1.7000000000000002]
47	5.65770234827	[17.25, 0.68, 0.2, 0.78, 0.56, -1.9700000000000002]
48	5.65770234827	[17.25, 0.68, 0.2, 0.78, 0.56, -1.9700000000000002]
49	5.65770234827	[17.25, 0.68, 0.2, 0.78, 0.56, -1.9700000000000002]
