Generation	Performance	Genome
0	5.61002317752	[17.257, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
1	5.61002317752	[17.257, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
2	5.64196745229	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
3	5.64196745229	[18.0, 0.6826, 0.2037, 0.7832, 0.5623, 3.6368]
4	5.86956210142	[17.0, 0.2775, 0.0921, 0.8854, 0.5623, 2.2466]
5	5.86956210142	[17.0, 0.2775, 0.0921, 0.8854, 0.5623, 2.2466]
6	5.86956210142	[17.0, 0.2775, 0.0921, 0.8854, 0.5623, 2.2466]
7	5.86956210142	[17.0, 0.2775, 0.0921, 0.8854, 0.5623, 2.2466]
8	5.86956210142	[17.0, 0.2775, 0.0921, 0.8854, 0.5623, 2.2466]
9	5.86956210142	[17.0, 0.2775, 0.0921, 0.8854, 0.5623, 2.2466]
10	5.99721010093	[18.0, 0.2775, 0.0, 0.8854, 0.5623, 3.6368]
11	5.99721010093	[18.0, 0.2775, 0.0, 0.8854, 0.5623, 3.6368]
12	5.99721010093	[18.0, 0.2775, 0.0, 0.8854, 0.5623, 3.6368]
13	6.10593442872	[17.0, 0.2775, 0.0921, 0.7832, 0.583, 2.2466]
14	6.10593442872	[17.0, 0.2775, 0.0921, 0.7832, 0.583, 2.2466]
15	6.10593442872	[17.0, 0.2775, 0.0921, 0.7832, 0.583, 2.2466]
16	6.13075684998	[17.0, 0.2775, 0.0921, 0.7832, 0.583, 2.0]
17	6.13075684998	[17.0, 0.2775, 0.0921, 0.7832, 0.583, 2.0]
18	6.1623328027	[18.0, 0.2775, 0.0, 0.8854, 0.583, 3.6368]
19	6.21521240833	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 2.2466]
20	6.21521240833	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 2.2466]
21	6.21521240833	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 2.2466]
22	6.21521240833	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 2.2466]
23	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
24	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
25	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
26	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
27	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
28	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
29	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
30	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
31	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
32	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
33	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
34	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
35	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
36	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
37	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
38	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
39	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
40	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
41	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
42	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
43	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
44	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
45	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
46	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
47	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
48	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
49	6.23952700767	[18.0, 0.2775, 0.0921, 0.7832, 0.583, 3.0]
