Generation	Performance
0	0.189744177979
1	0.64538818343
2	1.63043118843
3	2.15493591698
4	2.12434827343
5	2.45149966067
6	2.58042223592
7	2.31666862124
8	2.08756198177
9	2.61636323635
10	2.71889508914
11	2.91199372301
12	3.30970839106
13	3.00118259797
14	3.25658453063
15	3.17169676012
16	3.33702747062
17	3.40196421179
18	3.25278553392
19	2.99104764845
20	3.16018116481
21	2.91777682311
22	2.83966563444
23	2.59409850469
24	2.692861071
25	2.9780788154
26	3.0785158199
27	2.91251365628
28	2.81512963662
29	3.32641559755
30	2.98890632804
31	3.07989156151
32	3.23639001904
33	2.96545916717
34	3.11372453056
35	3.20938247191
36	3.17627574259
37	2.74810570345
38	3.09144188093
39	3.05990515705
40	2.86824619209
41	2.7833682602
42	2.80384878818
43	2.61146589156
44	2.79428319298
45	2.42190170463
46	2.43555645228
47	2.41747579001
48	2.98422538124
49	2.55872394679
