Generation	Performance
0	0.616219687176
1	0.853475423823
2	1.1551240923
3	1.81270637594
4	2.36622548196
5	2.44380669124
6	2.62446876759
7	2.63127216691
8	2.37310187171
9	2.63671204198
10	2.9779009905
11	3.10976072545
12	2.99607443995
13	3.00987619848
14	2.97927088187
15	2.87055084157
16	3.12151555807
17	3.21057884975
18	3.3113795268
19	3.30742777476
20	3.0805660076
21	2.86588946207
22	2.89461040898
23	2.95023971176
24	3.19715666289
25	3.44208650991
26	3.27099488755
27	3.55148958284
28	3.42141330338
29	3.71989941761
30	3.33278277537
31	3.3425805688
32	3.59419999493
33	3.23539441297
34	3.2493825819
35	3.50079064118
36	3.22359900134
37	3.20520961972
38	3.50283160007
39	3.65230781617
40	3.44872304124
41	3.32750365925
42	3.48693841731
43	3.42332153464
44	3.27485126882
45	3.32417629629
46	3.18013443167
47	3.07878300641
48	3.48835847645
49	3.52851587526
